"","X","B365H","B365D","B365A","Season","Matchweek_round","Year","Month","Day","Hour","Minute","Referee","rPointsATM","rRankATM","rFTG_roll","rGC_roll","rS_roll","rST_roll","rF_roll","rC_roll","rY_roll","rR_roll","rOverallGK","rOverallDEF","rOverallMID","rOverallATT","r_attWorkRate","r_defWorkRate","r_avgPACE","r_avgSHOOTING","r_avgPASSING","r_avgDRIBBLING","r_avgDEFENDING","r_avgPHYSICALITY","r_avgHeight","r_avgWeight","r_avgAge","rSumWage","rSumValue","r_avgDIVING","r_avgHANDLING","r_avgKICKING","r_avgPOSITIONING","r_avgREFLEXES","r_avgSPEED","FTR"
"1",1,3,3.4,2.5,2014,4,2014,9,13,12,45,22,0.833333333333333,1.75,1,1.99999999999999,1.34210526315789,1.36363636363636,0.973684210526311,1.1,0.874999999999998,1,0.975609756097561,0.978593272171254,0.387254901960784,2.88372093023256,0.9,1.13333333333333,1.04038975326104,0.950692333671058,0.950699043414275,0.970592496016224,0.998751560549313,1.04126984126984,1.01697061803445,0.994282238442823,0.900625,0.743589743589744,0.737027358540878,0.976470588235294,1.03947368421053,0.886075949367089,0.962025316455696,0.976744186046512,0.75,"D"
"2",2,1.3,5.75,12,2014,4,2014,9,13,15,0,16,1,1,1.83333333333334,3.99999999999999,1.66666666666667,1.23529411764706,0.772727272727269,6.49999999999999,0.571428571428571,1,1.04876803118908,1.08,0.885026737967914,1.08974358974359,0.652173913043478,0.9375,0.995690981840566,1.08796296296296,1.02450980392157,1.01864911455885,1.15155016368188,1.03599374021909,1.02322724734785,1.03169104439312,0.998850574712641,2.45652173913043,2.8021978021978,1.04916324499191,1.10204322863897,1.03626543209877,1.04790828062105,0.985655387507477,1.03346015563436,"H"
"3",3,2.25,3.3,3.6,2014,4,2014,9,13,15,0,23,1,1,5.00000000000002,2.00000000000001,0.833333333333333,2.16666666666667,1.79310344827586,1.3,1.5,3,1.04166666666667,0.782142857142857,1.32481751824818,0.50354609929078,0.6875,0.5,0.997765006385696,1.07520446838221,0.983252296056186,0.996632996632997,0.980624752866746,1.01414719440471,0.989400693412578,0.999880239520958,0.996989966555183,1.71686746987952,1.51907131011609,1.08219178082192,0.986111111111111,1.01449275362319,1.01388888888889,1.05333333333333,0.811320754716981,"D"
"4",4,1.3,6,11,2014,4,2014,9,13,17,30,19,0.857142857142857,1.66666666666667,2,3.99999999999999,1.48148148148148,2.66666666666667,0.896551724137931,0.666666666666667,0.749999999999999,1,1.05128205128205,1.07291666666667,1.35374149659864,0.561643835616438,1.84615384615385,1.2,1.07605633802817,1.07279029462738,1.1486268174475,1.1723602484472,0.965686274509804,0.991620111731844,0.993017456359104,1.01089588377724,0.923076923076923,2.45945945945946,2.98484848484848,1.05,1,1.07462686567164,1.05263157894737,1.03703703703704,1.1875,"A"
"5",5,1.8,3.75,5,2014,4,2014,9,13,15,0,5,2,0.615384615384615,1.33333333333333,0.599999999999999,0.926829268292683,2,1.35714285714286,0.761904761904762,1.99999999999999,0,0.949367088607595,1.01003344481605,1.03763440860215,1.05479452054795,0.761904761904762,1.05882352941176,0.939353099730458,0.968595041322314,0.996974281391831,1.00712250712251,0.951293759512938,1.03150684931507,1.01301952929394,1.01648998822144,1.01418439716312,1.11578947368421,1.41898148148148,0.888888888888889,0.962025316455696,0.972222222222222,1,0.952380952380952,0.952380952380952,"H"
"6",6,2.1,3.4,4,2014,4,2014,9,13,15,0,25,2,0.692307692307692,0.666666666666667,0.399999999999999,1.46153846153846,0.7,0.70731707317073,0.733333333333334,0.799999999999996,1,1.26153846153846,1.06137184115523,1.38202247191011,0.524475524475524,0.68421052631579,1.23076923076923,0.930167597765363,1.09636363636364,1.12780656303972,1.04580152671756,1.08529945553539,1.05142857142857,1.01339950372209,1.02482269503546,1.02061855670103,3.64,4.31621990004543,1.21739130434783,1.28571428571429,1.13846153846154,1.26984126984127,1.28787878787879,1.17021276595745,"A"
"7",7,3.6,3.5,2.15,2014,4,2014,9,13,15,0,7,0.333333333333333,2.33333333333333,0.599999999999999,1.33333333333333,0.971428571428566,1.1,0.777777777777778,0.684210526315789,3,0,0.870588235294118,0.973509933774834,0.756962025316456,0.9,0.714285714285714,1.42857142857143,0.908289241622576,0.850563119852076,0.934668574153552,0.948249619482496,1.04236343366778,0.985324947589098,0.991564492398236,0.971709006928407,1.09188191881919,0.374301675977654,0.298618490967056,0.872093023255814,0.91358024691358,0.985915492957746,0.876543209876543,0.852272727272727,0.9375,"D"
"8",8,3.5,3.5,2.2,2014,4,2014,9,13,15,0,4,1,1,0.285714285714286,0.500000000000002,0.894736842105258,0.75,1.51851851851852,1.05882352941176,2.33333333333333,1,0.951219512195122,0.910543130990415,0.918575063613232,0.95,0.68,0.476190476190476,0.919098143236074,0.948406676783004,0.919263456090652,0.893098782138024,0.9265625,0.930851063829787,1.01001001001001,1.03048065650645,0.969798657718121,0.548148148148148,0.406438026474128,0.94047619047619,1,0.960526315789474,0.939024390243902,0.987951807228916,1,"A"
"9",9,1.29,6.25,12,2014,4,2014,9,14,16,0,30,0.666666666666667,1.23076923076923,2,0.599999999999999,0.67391304347826,0.833333333333332,1.79166666666666,0.777777777777778,2,1,1.10666666666667,0.990066225165563,0.877333333333333,2.35135135135135,1.05882352941176,0.842105263157895,1.07193229901269,1.07337883959044,1.15698587127159,1.08931185944363,1,1.01246537396122,0.983341499265061,0.977906976744186,0.910299003322258,3.40227272727273,5.15389527458493,1.0875,1.08695652173913,1.16216216216216,1.05555555555556,1.08641975308642,1.47222222222222,"H"
"10",10,2.15,3.4,3.75,2014,4,2014,9,15,20,0,21,1.33333333333333,0.857142857142857,0.750000000000002,0.599999999999999,0.743589743589744,0.642857142857142,0.882352941176473,1.05263157894737,1.16666666666666,1,0.973684210526316,1.02430555555556,0.966555183946488,1.00694444444444,0.823529411764706,1.30769230769231,0.953424657534247,1.01174496644295,1.0112,1,1.05387205387205,1.02097902097902,0.999006951340617,1.0035799522673,1.01730103806228,0.907317073170732,0.85243553008596,0.986666666666667,0.960526315789474,0.958333333333333,1,0.962962962962963,0.844444444444444,"D"
